DateObserved,AQI,CategoryNumber,temp
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-13,61,2,60.007999999999996
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-13,61,2,60.007999999999996
2025-12-14,49,1,55.994
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-13,61,2,60.007999999999996
2025-12-14,49,1,55.994
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
2025-12-13,61,2,60.007999999999996
2025-12-14,49,1,55.994
2025-12-16,110,3,57.002
2025-12-01,60,2,57.992000000000004
2025-12-02,59,2,57.992000000000004
2025-12-03,56,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-04,54,2,57.002
2025-12-06,66,2,59
2025-12-07,61,2,59
2025-12-09,32,1,69.998
2025-12-10,58,2,71.006
2025-12-11,56,2,71.006
